,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.1,0.8,0.5,0.9,0.4
40,ANZA-BORREGO SPRINGS,0.1,0.0,0.0,0.1,0.1
28,CARLSBAD,2.4,3.6,4.2,2.0,4.2
0,CENTRAL SAN DIEGO,2.8,2.2,1.9,1.8,3.1
15,CHULA VISTA,1.0,2.0,2.0,3.5,2.0
7,COASTAL,1.9,1.4,1.6,0.3,2.2
2,CORONADO,1.0,0.7,0.6,0.3,1.0
9,DEL MAR-MIRA MESA,2.6,4.5,5.8,2.8,5.2
21,EL CAJON,1.1,2.8,2.7,3.5,2.6
13,ELLIOTT-NAVAJO,0.9,3.2,2.4,2.8,2.1
31,ESCONDIDO,1.3,2.6,4.2,4.1,3.3
36,FALLBROOK,0.3,1.1,1.1,1.4,0.9
24,HARBISON CREST,0.2,0.8,0.2,0.9,0.3
17,JAMUL,0.2,0.7,0.3,0.8,0.3
6,KEARNY MESA,3.8,3.0,4.1,1.0,5.0
20,LA MESA,1.5,1.7,1.4,0.8,1.8
38,LAGUNA-PINE VALLEY,0.2,0.3,0.1,0.1,0.1
23,LAKESIDE,0.7,3.2,2.2,3.1,1.8
19,LEMON GROVE,0.3,0.8,0.3,1.0,0.4
5,MID-CITY,0.8,3.1,2.2,4.3,2.0
12,MIRAMAR,0.2,0.2,0.0,0.1,0.1
39,MOUNTAIN EMPIRE,0.0,0.1,0.0,0.2,0.0
3,NATIONAL CITY,1.0,0.8,0.6,0.9,1.0
10,NORTH SAN DIEGO,2.0,3.6,4.9,2.2,4.3
29,OCEANSIDE,1.4,3.3,4.6,3.7,3.9
37,PALOMAR-JULIAN,0.2,0.1,0.1,0.1,0.1
35,PAUMA,0.1,0.3,0.1,0.3,0.1
30,PENDLETON,0.6,1.6,0.8,1.2,0.8
1,PENINSULA,2.2,1.2,1.3,0.8,2.2
11,POWAY,1.6,3.0,3.4,1.9,3.1
26,RAMONA,0.1,1.2,1.6,1.5,1.0
27,SAN DIEGUITO,2.2,2.2,3.3,0.5,3.4
32,SAN MARCOS,1.4,2.5,2.7,2.2,2.7
22,SANTEE,1.3,1.8,2.0,1.0,2.1
16,SOUTH BAY,2.2,1.9,1.7,5.5,1.5
4,SOUTHEASTERN SAN DIEGO,1.1,3.7,2.2,6.1,1.6
18,SPRING VALLEY,0.5,2.4,1.5,3.2,1.3
14,SWEETWATER,0.9,3.4,4.9,4.7,3.6
8,UNIVERSITY,1.4,1.4,1.3,0.5,1.7
34,VALLEY CENTER,0.2,0.9,0.5,0.9,0.5
33,VISTA,0.8,2.4,2.2,3.3,1.8
