,0
Date,161
CENTRAL SAN DIEGO_dtw_in,8
PENINSULA_dtw_in,12
CORONADO_dtw_in,1
NATIONAL CITY_dtw_in,30
SOUTHEASTERN SAN DIEGO_dtw_in,46
MID-CITY_dtw_in,45
KEARNY MESA_dtw_in,0
COASTAL_dtw_in,8
UNIVERSITY_dtw_in,19
DEL MAR-MIRA MESA_dtw_in,8
NORTH SAN DIEGO_dtw_in,8
POWAY_dtw_in,21
MIRAMAR_dtw_in,0
ELLIOTT-NAVAJO_dtw_in,31
SWEETWATER_dtw_in,30
CHULA VISTA_dtw_in,47
SOUTH BAY_dtw_in,32
JAMUL_dtw_in,3
SPRING VALLEY_dtw_in,25
LEMON GROVE_dtw_in,0
LA MESA_dtw_in,23
EL CAJON_dtw_in,30
SANTEE_dtw_in,25
LAKESIDE_dtw_in,12
HARBISON CREST_dtw_in,0
ALPINE_dtw_in,0
RAMONA_dtw_in,8
SAN DIEGUITO_dtw_in,3
CARLSBAD_dtw_in,1
OCEANSIDE_dtw_in,8
PENDLETON_dtw_in,14
ESCONDIDO_dtw_in,25
SAN MARCOS_dtw_in,16
VISTA_dtw_in,19
VALLEY CENTER_dtw_in,6
PAUMA_dtw_in,0
FALLBROOK_dtw_in,9
PALOMAR-JULIAN_dtw_in,5
LAGUNA-PINE VALLEY_dtw_in,0
MOUNTAIN EMPIRE_dtw_in,0
ANZA-BORREGO SPRINGS_dtw_in,0
