,0
Date,70
CENTRAL SAN DIEGO_dtw_inwithin,9
PENINSULA_dtw_inwithin,11
CORONADO_dtw_inwithin,1
NATIONAL CITY_dtw_inwithin,31
SOUTHEASTERN SAN DIEGO_dtw_inwithin,18
MID-CITY_dtw_inwithin,9
KEARNY MESA_dtw_inwithin,0
COASTAL_dtw_inwithin,1
UNIVERSITY_dtw_inwithin,17
DEL MAR-MIRA MESA_dtw_inwithin,0
NORTH SAN DIEGO_dtw_inwithin,0
POWAY_dtw_inwithin,0
MIRAMAR_dtw_inwithin,0
ELLIOTT-NAVAJO_dtw_inwithin,12
SWEETWATER_dtw_inwithin,0
CHULA VISTA_dtw_inwithin,9
SOUTH BAY_dtw_inwithin,7
JAMUL_dtw_inwithin,3
SPRING VALLEY_dtw_inwithin,14
LEMON GROVE_dtw_inwithin,0
LA MESA_dtw_inwithin,18
EL CAJON_dtw_inwithin,9
SANTEE_dtw_inwithin,6
LAKESIDE_dtw_inwithin,16
HARBISON CREST_dtw_inwithin,0
ALPINE_dtw_inwithin,5
RAMONA_dtw_inwithin,14
SAN DIEGUITO_dtw_inwithin,0
CARLSBAD_dtw_inwithin,0
OCEANSIDE_dtw_inwithin,0
PENDLETON_dtw_inwithin,11
ESCONDIDO_dtw_inwithin,5
SAN MARCOS_dtw_inwithin,4
VISTA_dtw_inwithin,18
VALLEY CENTER_dtw_inwithin,0
PAUMA_dtw_inwithin,0
FALLBROOK_dtw_inwithin,8
PALOMAR-JULIAN_dtw_inwithin,4
LAGUNA-PINE VALLEY_dtw_inwithin,0
MOUNTAIN EMPIRE_dtw_inwithin,0
ANZA-BORREGO SPRINGS_dtw_inwithin,0
