,0
Date,95
CENTRAL SAN DIEGO_dtw_out,12
PENINSULA_dtw_out,25
CORONADO_dtw_out,3
NATIONAL CITY_dtw_out,23
SOUTHEASTERN SAN DIEGO_dtw_out,5
MID-CITY_dtw_out,0
KEARNY MESA_dtw_out,0
COASTAL_dtw_out,29
UNIVERSITY_dtw_out,15
DEL MAR-MIRA MESA_dtw_out,0
NORTH SAN DIEGO_dtw_out,0
POWAY_dtw_out,0
MIRAMAR_dtw_out,0
ELLIOTT-NAVAJO_dtw_out,0
SWEETWATER_dtw_out,7
CHULA VISTA_dtw_out,22
SOUTH BAY_dtw_out,9
JAMUL_dtw_out,11
SPRING VALLEY_dtw_out,7
LEMON GROVE_dtw_out,7
LA MESA_dtw_out,16
EL CAJON_dtw_out,9
SANTEE_dtw_out,6
LAKESIDE_dtw_out,0
HARBISON CREST_dtw_out,14
ALPINE_dtw_out,11
RAMONA_dtw_out,12
SAN DIEGUITO_dtw_out,10
CARLSBAD_dtw_out,0
OCEANSIDE_dtw_out,0
PENDLETON_dtw_out,14
ESCONDIDO_dtw_out,7
SAN MARCOS_dtw_out,9
VISTA_dtw_out,8
VALLEY CENTER_dtw_out,12
PAUMA_dtw_out,3
FALLBROOK_dtw_out,12
PALOMAR-JULIAN_dtw_out,0
LAGUNA-PINE VALLEY_dtw_out,3
MOUNTAIN EMPIRE_dtw_out,0
ANZA-BORREGO SPRINGS_dtw_out,0
