,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.1,0.0,0.8,1.2,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.5,0.6,0.0,0.4,0.2,0.7,0.1,0.0,0.6,0.8,0.8,0.0,0.0,0.3,0.6,0.7,0.1,0.7,0.7,0.5,0.5,0.5,0.4,0.6,0.5,0.1,0.6
15,2020-04-16,0.1,0.0,0.8,1.2,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.5,0.6,0.0,0.4,0.2,0.7,0.1,0.0,0.6,0.8,0.8,0.0,0.0,0.3,0.5,0.7,0.1,0.7,0.7,0.5,0.5,0.5,0.4,0.6,0.5,0.1,0.6
16,2020-04-17,0.1,0.0,0.8,1.2,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.5,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.3,0.5,0.6,0.1,0.7,0.7,0.5,0.5,0.5,0.4,0.6,0.4,0.1,0.6
17,2020-04-18,0.1,0.0,0.8,1.1,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.7,0.5,0.5,0.5,0.4,0.6,0.4,0.1,0.5
18,2020-04-19,0.1,0.0,0.8,1.1,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.6,0.7,0.5,0.5,0.5,0.4,0.6,0.4,0.1,0.5
19,2020-04-20,0.1,0.0,0.8,1.1,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.7,0.0,0.0,0.2,0.5,0.6,0.1,0.6,0.7,0.5,0.5,0.4,0.4,0.6,0.4,0.1,0.5
20,2020-04-21,0.1,0.0,0.8,1.1,0.7,0.4,0.3,0.9,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.7,0.0,0.0,0.2,0.5,0.6,0.1,0.6,0.7,0.5,0.5,0.4,0.4,0.6,0.4,0.1,0.5
21,2020-04-22,0.1,0.0,0.8,1.1,0.7,0.4,0.3,0.9,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.7,0.0,0.0,0.2,0.5,0.6,0.1,0.6,0.7,0.5,0.4,0.4,0.4,0.6,0.4,0.1,0.6
22,2020-04-23,0.1,0.0,0.8,1.1,0.7,0.4,0.3,0.9,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.7,0.0,0.0,0.2,0.5,0.6,0.1,0.6,0.7,0.5,0.4,0.4,0.4,0.6,0.4,0.1,0.6
23,2020-04-24,0.1,0.0,0.8,1.1,0.7,0.4,0.3,0.9,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.7,0.5,0.4,0.4,0.4,0.6,0.4,0.1,0.6
24,2020-04-25,0.1,0.0,0.8,1.1,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.7,0.5,0.4,0.4,0.4,0.6,0.4,0.1,0.6
25,2020-04-26,0.1,0.0,0.8,1.1,0.7,0.4,0.3,1.0,0.8,0.4,0.7,0.2,0.1,0.1,1.4,0.5,0.0,0.3,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.7,0.5,0.4,0.4,0.4,0.6,0.4,0.1,0.6
26,2020-04-27,0.1,0.0,0.9,1.2,0.7,0.5,0.3,1.0,0.8,0.5,0.8,0.2,0.1,0.1,1.5,0.6,0.0,0.4,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.7,0.5,0.4,0.5,0.4,0.6,0.4,0.1,0.6
27,2020-04-28,0.1,0.0,0.9,1.2,0.7,0.5,0.3,1.0,0.8,0.5,0.8,0.2,0.1,0.1,1.5,0.6,0.0,0.4,0.2,0.7,0.1,0.0,0.6,0.7,0.8,0.0,0.0,0.2,0.5,0.6,0.1,0.7,0.8,0.5,0.4,0.5,0.4,0.6,0.4,0.1,0.6
