,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.02935,0.01179,0.25868,0.37171,0.2278,0.14436,0.10582,0.32668,0.25406,0.13981,0.23443,0.06693,0.02551,0.03568,0.46832,0.1696,0.00973,0.1103,0.06667,0.20105,0.03174,0.01331,0.18253,0.23509,0.24362,0.01204,0.00905,0.08058,0.17416,0.20342,0.0395,0.21283,0.22788,0.14284,0.17513,0.15751,0.12695,0.19803,0.1458,0.03011,0.16369
15,2020-04-16,0.02875,0.01145,0.25192,0.36463,0.22529,0.13983,0.10181,0.3188,0.25037,0.13773,0.22914,0.06602,0.02519,0.03536,0.45863,0.16755,0.00944,0.10838,0.06704,0.19864,0.03108,0.0135,0.18099,0.23113,0.24015,0.01237,0.00907,0.07832,0.16846,0.19985,0.03904,0.2065,0.22325,0.14258,0.17205,0.15601,0.1249,0.19548,0.14167,0.02928,0.16275
16,2020-04-17,0.02815,0.01112,0.24356,0.35487,0.22127,0.13439,0.09693,0.30815,0.24519,0.13453,0.22229,0.06453,0.02463,0.03494,0.44572,0.16458,0.00902,0.10627,0.0672,0.19613,0.03002,0.01343,0.17804,0.22546,0.23482,0.01247,0.00898,0.07589,0.16221,0.19486,0.03803,0.1991,0.21655,0.14143,0.16787,0.1538,0.12241,0.19201,0.13652,0.02861,0.16084
17,2020-04-18,0.0271,0.01053,0.23164,0.34087,0.21403,0.1269,0.09043,0.29355,0.23625,0.12989,0.21258,0.06205,0.02353,0.03423,0.42653,0.15952,0.00855,0.10257,0.06622,0.19218,0.02851,0.01312,0.17202,0.21732,0.22603,0.01232,0.00873,0.07258,0.15438,0.18758,0.03646,0.1891,0.20717,0.13792,0.16105,0.14978,0.11843,0.18645,0.12979,0.02742,0.15671
18,2020-04-19,0.02608,0.00956,0.22141,0.3299,0.20657,0.11976,0.0854,0.28167,0.2285,0.12563,0.20376,0.0593,0.02234,0.03316,0.41055,0.15512,0.00803,0.09864,0.06481,0.18984,0.02757,0.01265,0.16592,0.20948,0.21683,0.01145,0.00846,0.07028,0.14786,0.18121,0.03446,0.18021,0.1988,0.13384,0.15471,0.14544,0.11429,0.18104,0.12534,0.02621,0.15214
19,2020-04-20,0.02506,0.00847,0.21417,0.32331,0.20022,0.11364,0.08173,0.27348,0.22296,0.12234,0.19696,0.05686,0.02127,0.0318,0.39968,0.1517,0.00748,0.09509,0.06357,0.18927,0.02706,0.01211,0.16118,0.20339,0.20865,0.01023,0.00825,0.06899,0.14269,0.17608,0.03241,0.17295,0.19239,0.13045,0.14999,0.14148,0.11068,0.17624,0.12294,0.02523,0.14856
20,2020-04-21,0.02408,0.00778,0.20834,0.31759,0.19395,0.1087,0.07834,0.26597,0.21759,0.11898,0.19141,0.05494,0.02031,0.03066,0.38976,0.14804,0.00708,0.09184,0.06237,0.1892,0.02647,0.01155,0.15632,0.19774,0.20172,0.0092,0.00806,0.06795,0.13842,0.17138,0.03048,0.16759,0.18698,0.12747,0.14527,0.13792,0.1074,0.17213,0.12054,0.02455,0.14582
21,2020-04-22,0.02332,0.00728,0.2037,0.31108,0.18831,0.10483,0.07521,0.25868,0.213,0.11562,0.18705,0.05322,0.01964,0.02974,0.37914,0.14484,0.00686,0.08928,0.06123,0.18988,0.02566,0.01097,0.15136,0.19261,0.19576,0.0083,0.00783,0.06686,0.13482,0.16702,0.02888,0.16359,0.18231,0.12503,0.1407,0.13425,0.10487,0.16858,0.11755,0.02401,0.14329
22,2020-04-23,0.02286,0.00696,0.20039,0.30501,0.18409,0.10186,0.07255,0.25202,0.2091,0.11259,0.18365,0.05167,0.01908,0.02893,0.36994,0.14206,0.00672,0.08733,0.06003,0.19104,0.02493,0.01036,0.1479,0.18785,0.19079,0.0075,0.00756,0.06555,0.13199,0.16315,0.02744,0.16066,0.17836,0.12311,0.13665,0.13105,0.10297,0.16604,0.11439,0.02351,0.14081
23,2020-04-24,0.02232,0.00684,0.19811,0.29939,0.18079,0.09953,0.0703,0.24627,0.20614,0.11002,0.18146,0.05063,0.01878,0.02829,0.36155,0.13978,0.00668,0.0857,0.05879,0.19253,0.0242,0.00981,0.14547,0.18408,0.1877,0.00701,0.00735,0.064,0.12926,0.15993,0.02646,0.15876,0.17565,0.1221,0.13323,0.12837,0.10182,0.16439,0.11101,0.02307,0.13905
24,2020-04-25,0.02224,0.00702,0.19957,0.29683,0.18028,0.09914,0.06962,0.24375,0.20612,0.10865,0.18236,0.05057,0.01909,0.0279,0.35786,0.13903,0.00677,0.08549,0.05829,0.19429,0.02378,0.00953,0.14563,0.18232,0.18756,0.00683,0.00727,0.0629,0.12797,0.15843,0.02603,0.15984,0.1756,0.12303,0.13208,0.12704,0.10206,0.16389,0.10877,0.02319,0.13911
