,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.0838,0.00702,0.5611,0.45621,0.43421,0.2287,0.08361,0.78941,0.61004,0.36978,0.7374,0.21612,0.06222,0.0702,0.62732,0.22399,0.01669,0.33807,0.10801,0.50269,0.00758,0.01649,0.18347,0.6283,0.74514,0.0155,0.02331,0.12329,0.18074,0.47286,0.25153,0.43292,0.45607,0.29986,0.51762,0.53602,0.3366,0.79692,0.16088,0.10163,0.44268
15,2020-04-16,0.08481,0.00744,0.56534,0.46079,0.44041,0.23279,0.08437,0.79617,0.61789,0.37427,0.74695,0.21888,0.06321,0.07117,0.63454,0.22626,0.01708,0.34252,0.10969,0.51077,0.00798,0.01694,0.18588,0.6334,0.75532,0.01596,0.02371,0.12607,0.18381,0.4768,0.2551,0.43689,0.45912,0.30263,0.52211,0.54324,0.34046,0.80305,0.1635,0.10304,0.44845
16,2020-04-17,0.08571,0.0077,0.56715,0.46235,0.44373,0.23581,0.0847,0.79931,0.62147,0.37695,0.75243,0.22043,0.06399,0.07184,0.63896,0.22745,0.01733,0.34482,0.11081,0.51483,0.00824,0.01732,0.1873,0.63518,0.75989,0.01625,0.02415,0.12856,0.1856,0.47822,0.25622,0.43893,0.46041,0.30441,0.52415,0.54749,0.34285,0.80586,0.16547,0.10414,0.4511
17,2020-04-18,0.08611,0.00785,0.56557,0.46089,0.44325,0.23729,0.08451,0.7979,0.62094,0.37734,0.75209,0.22064,0.06445,0.07211,0.63816,0.22718,0.01744,0.3445,0.11115,0.51481,0.00841,0.01751,0.18707,0.63412,0.75777,0.01635,0.02454,0.13067,0.18635,0.47721,0.2545,0.43835,0.4592,0.30428,0.52213,0.54828,0.3431,0.80398,0.16628,0.10456,0.45052
18,2020-04-19,0.08626,0.00801,0.56286,0.45839,0.44154,0.2379,0.08414,0.79498,0.62003,0.37684,0.74966,0.22013,0.06477,0.07225,0.63595,0.22652,0.01752,0.34362,0.11135,0.513,0.00853,0.0177,0.18623,0.63148,0.75366,0.01645,0.02496,0.13299,0.18683,0.47498,0.25247,0.43692,0.45755,0.30345,0.5195,0.54761,0.34277,0.80079,0.16664,0.10483,0.44885
19,2020-04-20,0.08613,0.00819,0.55939,0.45539,0.43978,0.23767,0.08374,0.79077,0.61692,0.3757,0.74664,0.21967,0.06499,0.07239,0.63312,0.22557,0.01757,0.34228,0.11143,0.50991,0.00857,0.01789,0.18531,0.62764,0.7489,0.01649,0.02533,0.13541,0.18697,0.47211,0.25014,0.43487,0.45523,0.30222,0.5169,0.54579,0.34177,0.79681,0.16675,0.10484,0.44667
20,2020-04-21,0.08559,0.00813,0.55413,0.44966,0.43518,0.23583,0.08285,0.78373,0.61017,0.37211,0.74123,0.21811,0.0647,0.07197,0.62645,0.2235,0.01748,0.33883,0.1108,0.50288,0.00843,0.0179,0.18329,0.62154,0.74154,0.01631,0.0255,0.13705,0.18575,0.46701,0.24647,0.43157,0.45159,0.29992,0.51179,0.54035,0.33901,0.78982,0.16573,0.10419,0.44258
21,2020-04-22,0.08451,0.00783,0.54623,0.4403,0.42817,0.23193,0.08148,0.773,0.59998,0.3663,0.73124,0.21462,0.06383,0.07104,0.61499,0.21989,0.01715,0.33313,0.1092,0.49177,0.00807,0.01758,0.18018,0.61302,0.72875,0.01574,0.02533,0.13746,0.18275,0.45977,0.24147,0.42621,0.44596,0.29639,0.50404,0.5311,0.33418,0.77994,0.16345,0.10253,0.43506
22,2020-04-23,0.08318,0.00743,0.53861,0.43129,0.4216,0.22754,0.08021,0.76268,0.59005,0.36003,0.72065,0.21025,0.0627,0.06996,0.60276,0.21621,0.01677,0.32712,0.10704,0.48121,0.00766,0.0171,0.17724,0.60489,0.71465,0.01497,0.02497,0.1371,0.1793,0.45283,0.23595,0.42022,0.44004,0.29279,0.49708,0.52171,0.329,0.77082,0.16111,0.10029,0.42659
23,2020-04-24,0.08152,0.00697,0.53105,0.42206,0.41523,0.22233,0.07902,0.75252,0.58042,0.35336,0.70979,0.2056,0.06133,0.06876,0.58953,0.21214,0.01633,0.32126,0.10462,0.47092,0.00717,0.01647,0.17416,0.59711,0.70109,0.01408,0.02444,0.13575,0.17571,0.44617,0.23095,0.41406,0.43402,0.2888,0.48997,0.51184,0.32342,0.76185,0.15844,0.09763,0.41858
