,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.2,1.0,0.6,1.0,0.5
40,ANZA-BORREGO SPRINGS,0.1,0.1,0.0,0.1,0.1
28,CARLSBAD,2.8,4.2,4.9,2.1,4.8
0,CENTRAL SAN DIEGO,3.7,2.4,2.2,1.6,3.9
15,CHULA VISTA,1.3,2.2,2.1,3.4,2.1
7,COASTAL,2.5,1.3,1.8,0.8,2.8
2,CORONADO,1.2,0.8,0.7,0.4,1.2
9,DEL MAR-MIRA MESA,2.7,4.8,6.4,2.9,5.8
21,EL CAJON,1.6,3.1,2.9,3.4,2.9
13,ELLIOTT-NAVAJO,1.0,3.7,2.8,3.0,2.5
31,ESCONDIDO,1.8,2.9,4.3,4.5,3.5
36,FALLBROOK,0.4,1.2,1.1,1.5,0.9
24,HARBISON CREST,0.2,1.0,0.2,0.9,0.3
17,JAMUL,0.2,0.8,0.2,0.8,0.3
6,KEARNY MESA,4.3,3.2,4.5,0.8,5.8
20,LA MESA,1.6,2.0,1.5,0.8,2.1
38,LAGUNA-PINE VALLEY,0.2,0.3,0.1,0.1,0.2
23,LAKESIDE,0.7,3.8,2.4,3.5,1.9
19,LEMON GROVE,0.3,0.8,0.4,1.0,0.4
5,MID-CITY,1.1,3.2,2.2,3.9,2.0
12,MIRAMAR,0.2,0.2,0.0,0.0,0.1
39,MOUNTAIN EMPIRE,0.1,0.2,0.1,0.2,0.1
3,NATIONAL CITY,1.1,1.0,0.7,0.7,1.1
10,NORTH SAN DIEGO,2.2,4.2,5.5,2.4,4.8
29,OCEANSIDE,1.6,3.4,4.8,4.0,4.0
37,PALOMAR-JULIAN,0.1,0.1,0.0,0.0,0.1
35,PAUMA,0.1,0.3,0.1,0.3,0.1
30,PENDLETON,0.5,1.5,0.8,1.0,0.8
1,PENINSULA,2.7,1.1,1.3,1.2,2.6
11,POWAY,1.5,3.5,3.8,2.3,3.4
26,RAMONA,0.2,1.4,1.9,1.6,1.2
27,SAN DIEGUITO,2.3,2.6,3.7,0.9,3.8
32,SAN MARCOS,1.6,2.8,2.9,2.3,2.9
22,SANTEE,1.3,2.1,2.2,1.2,2.3
16,SOUTH BAY,1.7,2.1,2.0,4.6,1.7
4,SOUTHEASTERN SAN DIEGO,1.3,3.9,2.3,6.4,1.9
18,SPRING VALLEY,0.7,2.8,1.6,3.4,1.4
14,SWEETWATER,1.2,3.9,5.4,5.2,3.7
8,UNIVERSITY,1.6,1.2,1.5,0.1,2.0
34,VALLEY CENTER,0.3,1.0,0.4,1.0,0.4
33,VISTA,1.1,2.7,2.3,3.4,2.0
