,SRA Names,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6
0,CENTRAL SAN DIEGO,stable,stable,stable,stable,stable,stable
1,PENINSULA,stable,stable,stable,stable,stable,stable
2,CORONADO,-,increase,stable,stable,-,-
3,NATIONAL CITY,-,increase,-,stable,-,-
4,SOUTHEASTERN SAN DIEGO,-,-,-,stable,-,-
5,MID-CITY,-,increase,-,-,-,-
6,KEARNY MESA,-,-,stable,-,stable,stable
7,COASTAL,-,-,stable,stable,-,-
8,UNIVERSITY,-,-,-,stable,-,-
9,DEL MAR-MIRA MESA,-,-,stable,stable,-,-
10,NORTH SAN DIEGO,-,increase,-,stable,-,-
11,POWAY,-,-,stable,-,-,-
12,MIRAMAR,stable,stable,stable,stable,stable,stable
13,ELLIOTT-NAVAJO,stable,stable,stable,stable,-,stable
14,SWEETWATER,-,-,stable,stable,-,-
15,CHULA VISTA,-,stable,-,stable,-,-
16,SOUTH BAY,stable,stable,stable,stable,stable,stable
17,JAMUL,stable,stable,-,stable,-,-
18,SPRING VALLEY,-,stable,stable,stable,-,-
19,LEMON GROVE,-,-,-,-,-,-
20,LA MESA,stable,stable,stable,stable,stable,stable
21,EL CAJON,stable,stable,stable,stable,stable,stable
22,SANTEE,-,-,stable,stable,-,-
23,LAKESIDE,-,stable,stable,stable,-,-
24,HARBISON CREST,-,increase,-,stable,-,-
25,ALPINE,stable,stable,stable,stable,stable,stable
26,RAMONA,stable,stable,stable,stable,stable,stable
27,SAN DIEGUITO,-,stable,stable,stable,stable,stable
28,CARLSBAD,-,stable,stable,stable,-,-
29,OCEANSIDE,-,stable,stable,stable,-,-
30,PENDLETON,-,-,stable,-,-,-
31,ESCONDIDO,-,-,-,-,-,-
32,SAN MARCOS,-,-,stable,stable,-,-
33,VISTA,-,stable,-,stable,-,-
34,VALLEY CENTER,increase,-,-,-,-,-
35,PAUMA,-,-,-,stable,-,-
36,FALLBROOK,-,-,-,stable,-,-
37,PALOMAR-JULIAN,-,increase,-,stable,-,-
38,LAGUNA-PINE VALLEY,-,stable,stable,stable,-,-
39,MOUNTAIN EMPIRE,stable,stable,stable,stable,-,-
40,ANZA-BORREGO SPRINGS,-,-,stable,stable,-,-
