,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.00059,0.00065,0.00561,0.01843,0.00757,0.00317,0.00114,0.00929,0.01815,0.00991,0.00869,0.00065,0.00155,0.00125,0.01194,0.00388,0.00067,0.00329,0.00485,0.0126,0.00039,-0.00014,0.00479,0.00962,0.00472,0.00127,0.0006,0.0,0.00139,0.0043,0.00192,0.00537,0.00394,0.00487,0.00987,0.01472,0.0068,0.01204,0.00417,0.00183,0.00401
15,2020-04-16,0.00044,0.00051,0.00524,0.01742,0.00799,0.00361,0.00091,0.00848,0.01807,0.0099,0.00772,0.00069,0.00156,0.0014,0.01015,0.00432,0.00052,0.00355,0.00446,0.01265,0.00035,-0.00013,0.0046,0.00769,0.00415,0.00099,0.00051,0.0,0.00101,0.00356,0.00192,0.00479,0.00418,0.00417,0.01155,0.01504,0.0074,0.01288,0.00426,0.00175,0.00425
16,2020-04-17,0.00032,0.00041,0.00498,0.01649,0.00829,0.00359,0.00077,0.00787,0.01781,0.00949,0.0075,0.00067,0.00164,0.00153,0.00904,0.00461,0.00042,0.00372,0.00377,0.01279,0.00034,-0.0001,0.00454,0.00603,0.00366,0.00079,0.0004,0.0,0.00046,0.00298,0.00183,0.00444,0.00393,0.00338,0.01236,0.01513,0.00731,0.01353,0.00371,0.00142,0.00426
17,2020-04-18,0.00023,0.00032,0.00465,0.01507,0.00906,0.00342,0.00067,0.00696,0.01774,0.0087,0.00754,0.00077,0.00175,0.00171,0.00793,0.00518,0.00032,0.00388,0.00331,0.013,0.00019,-5e-05,0.00476,0.00455,0.00322,0.00059,0.00032,0.0,0.00016,0.00265,0.0018,0.00396,0.00381,0.00269,0.01317,0.01535,0.00751,0.01382,0.00304,0.00114,0.00428
18,2020-04-19,0.00015,0.00024,0.00432,0.01402,0.00985,0.00328,0.0006,0.00611,0.01761,0.00753,0.00788,0.00088,0.00183,0.00182,0.00693,0.00529,0.00024,0.00387,0.00279,0.01325,7e-05,-2e-05,0.00469,0.00336,0.0028,0.00042,0.00024,0.0,2e-05,0.00231,0.00169,0.00352,0.00351,0.00212,0.0137,0.01548,0.00716,0.01408,0.00248,0.00089,0.00413
19,2020-04-20,9e-05,0.00016,0.00408,0.01336,0.01119,0.00318,0.00051,0.00544,0.01799,0.00651,0.00832,0.00097,0.00197,0.002,0.00625,0.00548,0.00017,0.00397,0.00236,0.01384,-2e-05,0.0,0.00503,0.00235,0.00254,0.00023,0.00017,0.0,0.0001,0.00215,0.00157,0.00314,0.00332,0.00164,0.01494,0.01596,0.00717,0.01488,0.002,0.00067,0.00409
20,2020-04-21,-1e-05,8e-05,0.00378,0.01152,0.01209,0.00298,0.00046,0.00454,0.01701,0.00539,0.00837,0.00105,0.00191,0.00201,0.00521,0.00555,8e-05,0.00363,0.00177,0.01329,-0.0001,0.0001,0.00552,0.00141,0.00248,3e-05,5e-05,0.0,0.00021,0.00193,0.00138,0.00267,0.00305,0.001,0.01452,0.01552,0.00702,0.01481,0.00142,0.00039,0.00401
21,2020-04-22,-9e-05,-2e-05,0.00333,0.00976,0.01306,0.00256,0.0004,0.00375,0.01601,0.00426,0.00889,0.00122,0.00184,0.00214,0.00523,0.0056,-2e-05,0.0033,0.00138,0.01268,-0.00013,0.00023,0.00598,0.001,0.00228,-0.00016,-4e-05,0.0,0.00082,0.00183,0.00105,0.0024,0.00284,0.00078,0.01416,0.01536,0.00691,0.01445,0.00091,0.00019,0.00348
22,2020-04-23,-5e-05,-2e-05,0.00338,0.0092,0.01343,0.00206,0.00043,0.00354,0.01515,0.00339,0.00961,0.00125,0.00175,0.00208,0.00509,0.00497,-1e-05,0.00292,0.00106,0.01221,-0.00011,0.00029,0.00643,0.00143,0.00261,-0.00016,-0.0001,0.0,0.00166,0.00213,0.00078,0.00228,0.00257,0.00073,0.01233,0.01467,0.00652,0.01345,0.00045,6e-05,0.00309
23,2020-04-24,-3e-05,-2e-05,0.00304,0.00849,0.01329,0.00167,0.00046,0.00314,0.0141,0.00264,0.0096,0.00129,0.0016,0.00198,0.00478,0.00434,-1e-05,0.00255,0.00104,0.01129,-8e-05,0.00037,0.00685,0.00195,0.00286,-0.00015,-0.00013,0.0,0.0026,0.00239,0.00061,0.00204,0.00245,0.00092,0.01028,0.01376,0.0064,0.01214,0.00033,9e-05,0.00272
