,0
Date,187
CENTRAL SAN DIEGO_dtw_net,60
PENINSULA_dtw_net,29
CORONADO_dtw_net,2
NATIONAL CITY_dtw_net,24
SOUTHEASTERN SAN DIEGO_dtw_net,0
MID-CITY_dtw_net,0
KEARNY MESA_dtw_net,54
COASTAL_dtw_net,28
UNIVERSITY_dtw_net,22
DEL MAR-MIRA MESA_dtw_net,7
NORTH SAN DIEGO_dtw_net,12
POWAY_dtw_net,23
MIRAMAR_dtw_net,0
ELLIOTT-NAVAJO_dtw_net,0
SWEETWATER_dtw_net,0
CHULA VISTA_dtw_net,27
SOUTH BAY_dtw_net,6
JAMUL_dtw_net,3
SPRING VALLEY_dtw_net,0
LEMON GROVE_dtw_net,26
LA MESA_dtw_net,31
EL CAJON_dtw_net,0
SANTEE_dtw_net,25
LAKESIDE_dtw_net,0
HARBISON CREST_dtw_net,7
ALPINE_dtw_net,11
RAMONA_dtw_net,7
SAN DIEGUITO_dtw_net,43
CARLSBAD_dtw_net,36
OCEANSIDE_dtw_net,7
PENDLETON_dtw_net,20
ESCONDIDO_dtw_net,0
SAN MARCOS_dtw_net,21
VISTA_dtw_net,0
VALLEY CENTER_dtw_net,17
PAUMA_dtw_net,3
FALLBROOK_dtw_net,32
PALOMAR-JULIAN_dtw_net,4
LAGUNA-PINE VALLEY_dtw_net,0
MOUNTAIN EMPIRE_dtw_net,0
ANZA-BORREGO SPRINGS_dtw_net,0
