,SRA Numbers,SRA Names,inflow,netflow,outflow,inwithinflow,withinflow
0,1,CENTRAL SAN DIEGO,8,60,12,9,21
1,2,PENINSULA,12,29,25,11,16
2,3,CORONADO,1,2,3,1,0
3,4,NATIONAL CITY,30,24,23,31,29
4,5,SOUTHEASTERN SAN DIEGO,46,0,5,18,31
5,6,MID-CITY,45,0,0,9,11
6,10,KEARNY MESA,0,54,0,0,0
7,11,COASTAL,8,28,29,1,22
8,12,UNIVERSITY,19,22,15,17,20
9,13,DEL MAR-MIRA MESA,8,7,0,0,0
10,14,NORTH SAN DIEGO,8,12,0,0,0
11,15,POWAY,21,23,0,0,0
12,16,MIRAMAR,0,0,0,0,0
13,17,ELLIOTT-NAVAJO,31,0,0,12,0
14,20,SWEETWATER,30,0,7,0,0
15,21,CHULA VISTA,47,27,22,9,14
16,22,SOUTH BAY,32,6,9,7,13
17,30,JAMUL,3,3,11,3,6
18,31,SPRING VALLEY,25,0,7,14,15
19,32,LEMON GROVE,0,26,7,0,0
20,33,LA MESA,23,31,16,18,35
21,34,EL CAJON,30,0,9,9,9
22,35,SANTEE,25,25,6,6,7
23,36,LAKESIDE,12,0,0,16,5
24,37,HARBISON CREST,0,7,14,0,5
25,38,ALPINE,0,11,11,5,12
26,39,RAMONA,8,7,12,14,20
27,40,SAN DIEGUITO,3,43,10,0,0
28,41,CARLSBAD,1,36,0,0,0
29,42,OCEANSIDE,8,7,0,0,0
30,43,PENDLETON,14,20,14,11,8
31,50,ESCONDIDO,25,0,7,5,8
32,51,SAN MARCOS,16,21,9,4,7
33,52,VISTA,19,0,8,18,11
34,53,VALLEY CENTER,6,17,12,0,15
35,54,PAUMA,0,3,3,0,0
36,55,FALLBROOK,9,32,12,8,15
37,60,PALOMAR-JULIAN,5,4,0,4,0
38,61,LAGUNA-PINE VALLEY,0,0,3,0,0
39,62,MOUNTAIN EMPIRE,0,0,0,0,0
40,63,ANZA-BORREGO SPRINGS,0,0,0,0,0
