,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,-0.05233,0.00518,-0.05551,0.00299,-0.12906,0.00717,0.04715,-0.05102,-0.16319,-0.16087,-0.2036,-0.07968,-0.06466,-0.04987,0.06563,-0.03204,-0.03041,-0.22573,-0.05743,-0.32913,0.00769,-0.01607,0.01201,-0.05924,-0.18893,-0.00311,-0.02654,-0.0369,0.04979,-0.0539,-0.11091,0.04327,-0.06972,-0.06798,-0.2286,-0.42467,-0.18727,-0.278,-0.07064,-0.07678,-0.18354
15,2020-04-16,-0.05139,0.00495,-0.05633,0.00133,-0.12618,0.00348,0.04252,-0.05336,-0.15844,-0.15832,-0.19881,-0.07806,-0.06383,-0.04792,0.06379,-0.03242,-0.02937,-0.2238,-0.0553,-0.32772,0.00926,-0.01493,0.0122,-0.05974,-0.18427,-0.00227,-0.02561,-0.03577,0.04766,-0.05504,-0.10712,0.03891,-0.06873,-0.06321,-0.22435,-0.42129,-0.18577,-0.27033,-0.07104,-0.07451,-0.17743
16,2020-04-17,-0.04988,0.00464,-0.05757,-0.00168,-0.1214,-0.0007,0.03781,-0.05634,-0.15306,-0.1547,-0.19252,-0.07563,-0.06277,-0.04508,0.0598,-0.03214,-0.02789,-0.21807,-0.05258,-0.32198,0.00988,-0.01356,0.01277,-0.06018,-0.17755,-0.00144,-0.02465,-0.03537,0.04491,-0.05519,-0.10319,0.03464,-0.06758,-0.05829,-0.21852,-0.41429,-0.18261,-0.26053,-0.0725,-0.07167,-0.1689
17,2020-04-18,-0.04749,0.0041,-0.05907,-0.00518,-0.11475,-0.00505,0.03245,-0.05889,-0.14621,-0.14875,-0.18384,-0.07175,-0.06145,-0.0412,0.05398,-0.03154,-0.02573,-0.20893,-0.04907,-0.31047,0.01011,-0.01173,0.0126,-0.05902,-0.16973,-0.00051,-0.02316,-0.03542,0.04101,-0.0544,-0.09802,0.02922,-0.06491,-0.05375,-0.21083,-0.40003,-0.17625,-0.24682,-0.07405,-0.06787,-0.15785
18,2020-04-19,-0.04526,0.00324,-0.05849,-0.00539,-0.11002,-0.00838,0.0289,-0.05874,-0.14021,-0.14302,-0.17586,-0.06856,-0.06048,-0.03821,0.04961,-0.03029,-0.02398,-0.20133,-0.04619,-0.29629,0.01115,-0.01046,0.01159,-0.05764,-0.16385,-0.00052,-0.02159,-0.0331,0.03836,-0.05273,-0.09448,0.02498,-0.06158,-0.05175,-0.2045,-0.38744,-0.17127,-0.2357,-0.07296,-0.06452,-0.14836
19,2020-04-20,-0.04414,0.00219,-0.05607,-0.00247,-0.10779,-0.01068,0.02666,-0.05645,-0.13507,-0.13752,-0.16974,-0.0663,-0.05984,-0.03621,0.04805,-0.02872,-0.02247,-0.19597,-0.04389,-0.2818,0.01247,-0.00962,0.0103,-0.0561,-0.16134,-0.00105,-0.0202,-0.02899,0.03623,-0.05158,-0.09247,0.02179,-0.05854,-0.05135,-0.20039,-0.37865,-0.1674,-0.22889,-0.07023,-0.06206,-0.14078
20,2020-04-21,-0.04321,0.00143,-0.05436,-0.00025,-0.10655,-0.01242,0.02512,-0.05487,-0.13114,-0.13246,-0.1646,-0.06424,-0.05936,-0.0345,0.04591,-0.02751,-0.02103,-0.19045,-0.04208,-0.26838,0.01302,-0.00878,0.00884,-0.05545,-0.15957,-0.00139,-0.01917,-0.02617,0.03411,-0.04999,-0.09079,0.01977,-0.05598,-0.05057,-0.19709,-0.36866,-0.16335,-0.22167,-0.06866,-0.05998,-0.13383
21,2020-04-22,-0.04235,0.00087,-0.05319,0.00019,-0.10451,-0.01328,0.02376,-0.05457,-0.12734,-0.12876,-0.15943,-0.06193,-0.0588,-0.03345,0.0426,-0.02617,-0.01973,-0.18521,-0.04006,-0.25464,0.01263,-0.00816,0.00779,-0.05488,-0.15745,-0.00166,-0.01843,-0.02529,0.03199,-0.04877,-0.08927,0.01819,-0.05373,-0.04916,-0.194,-0.35925,-0.15876,-0.21559,-0.06879,-0.05864,-0.12757
22,2020-04-23,-0.04137,0.00069,-0.05188,0.00041,-0.10288,-0.01326,0.02322,-0.05537,-0.12433,-0.12584,-0.15487,-0.05986,-0.0577,-0.03249,0.04032,-0.02458,-0.0188,-0.18081,-0.03873,-0.24125,0.01233,-0.00798,0.00781,-0.05532,-0.15536,-0.00186,-0.01807,-0.02587,0.03067,-0.04749,-0.08821,0.01688,-0.05174,-0.04768,-0.19194,-0.35179,-0.15411,-0.2107,-0.06986,-0.05738,-0.12228
23,2020-04-24,-0.04085,0.00083,-0.05127,0.00019,-0.10238,-0.01268,0.02278,-0.0574,-0.12201,-0.12349,-0.15117,-0.0579,-0.05634,-0.03222,0.03841,-0.023,-0.01813,-0.17857,-0.0382,-0.23008,0.01204,-0.00802,0.00811,-0.05614,-0.15323,-0.00189,-0.01771,-0.0278,0.02967,-0.04699,-0.08675,0.01573,-0.04992,-0.04568,-0.19018,-0.34589,-0.14984,-0.20643,-0.07162,-0.05639,-0.11782
