,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.3,0.0,1.0,1.2,1.1,0.5,0.2,1.3,1.3,1.0,1.4,0.5,0.3,0.3,1.3,0.7,0.1,1.1,0.4,1.7,0.1,0.1,0.6,1.0,1.4,0.0,0.1,0.4,0.4,0.9,0.5,0.6,1.0,0.7,1.3,1.9,1.0,1.5,0.7,0.3,1.1
15,2020-04-16,0.3,0.0,1.0,1.2,1.1,0.5,0.2,1.2,1.3,1.0,1.4,0.5,0.3,0.3,1.3,0.7,0.1,1.1,0.4,1.7,0.1,0.1,0.5,1.0,1.4,0.0,0.1,0.4,0.4,0.9,0.5,0.6,1.0,0.7,1.3,1.9,1.0,1.5,0.7,0.3,1.1
16,2020-04-17,0.3,0.0,1.0,1.2,1.1,0.4,0.2,1.2,1.3,1.0,1.4,0.5,0.3,0.3,1.3,0.6,0.1,1.1,0.4,1.7,0.1,0.1,0.5,1.0,1.4,0.0,0.1,0.4,0.4,0.8,0.5,0.6,0.9,0.7,1.3,1.9,1.0,1.5,0.7,0.3,1.1
17,2020-04-18,0.3,0.0,1.0,1.2,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.5,0.3,0.2,1.3,0.6,0.1,1.1,0.4,1.7,0.1,0.1,0.5,1.0,1.4,0.0,0.1,0.4,0.4,0.8,0.5,0.6,0.9,0.7,1.2,1.9,1.0,1.5,0.7,0.3,1.1
18,2020-04-19,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.7,0.0,0.1,0.5,1.0,1.4,0.0,0.1,0.4,0.4,0.8,0.5,0.6,0.9,0.7,1.2,1.8,1.0,1.4,0.7,0.3,1.0
19,2020-04-20,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.6,0.0,0.1,0.5,0.9,1.3,0.0,0.1,0.4,0.4,0.8,0.4,0.6,0.9,0.7,1.2,1.8,1.0,1.4,0.7,0.3,1.0
20,2020-04-21,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.6,0.0,0.1,0.5,0.9,1.3,0.0,0.1,0.4,0.4,0.8,0.4,0.6,0.9,0.6,1.2,1.8,1.0,1.4,0.7,0.3,1.0
21,2020-04-22,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.6,0.0,0.1,0.5,0.9,1.3,0.0,0.1,0.4,0.4,0.8,0.4,0.6,0.9,0.6,1.2,1.8,1.0,1.4,0.7,0.3,1.0
22,2020-04-23,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.6,0.0,0.1,0.5,0.9,1.3,0.0,0.1,0.4,0.4,0.8,0.4,0.6,0.9,0.6,1.2,1.8,1.0,1.4,0.7,0.3,1.0
23,2020-04-24,0.3,0.0,1.0,1.1,1.1,0.4,0.2,1.2,1.3,0.9,1.3,0.4,0.3,0.2,1.2,0.6,0.1,1.1,0.4,1.6,0.0,0.1,0.5,1.0,1.3,0.0,0.1,0.4,0.4,0.8,0.5,0.6,0.9,0.7,1.2,1.8,1.0,1.4,0.7,0.3,1.0
