,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.08169,0.00662,0.31419,0.36871,0.35685,0.13719,0.05867,0.3777,0.41724,0.30068,0.43804,0.14662,0.09017,0.08555,0.4027,0.20165,0.04015,0.33603,0.12411,0.53018,0.02405,0.02939,0.17052,0.29433,0.43255,0.01515,0.03559,0.11748,0.12437,0.25732,0.15041,0.16956,0.2976,0.21082,0.40373,0.58219,0.31422,0.47604,0.21644,0.10688,0.34722
15,2020-04-16,0.08014,0.0065,0.30825,0.3633,0.35147,0.13635,0.05929,0.37216,0.40881,0.29606,0.42795,0.14408,0.08902,0.08328,0.39484,0.19997,0.03881,0.33218,0.12234,0.52636,0.02182,0.02843,0.16879,0.29087,0.42442,0.01464,0.03468,0.11409,0.12079,0.25489,0.14617,0.16759,0.29198,0.20579,0.3964,0.5773,0.31067,0.4658,0.21271,0.10379,0.34018
16,2020-04-17,0.07804,0.00648,0.30113,0.35655,0.34267,0.13509,0.05912,0.36448,0.39825,0.28923,0.41481,0.14016,0.0874,0.08002,0.38591,0.19671,0.03691,0.32435,0.11978,0.51811,0.02014,0.02699,0.16527,0.28564,0.41237,0.01391,0.03363,0.11125,0.11731,0.25005,0.14122,0.16446,0.28413,0.19972,0.38638,0.56808,0.30502,0.45255,0.20901,0.10028,0.32975
17,2020-04-18,0.07459,0.00642,0.29071,0.34605,0.32878,0.13195,0.05799,0.35244,0.38246,0.27864,0.39643,0.1338,0.08498,0.07543,0.37255,0.19105,0.03428,0.31151,0.11529,0.50264,0.01839,0.02485,0.15942,0.27633,0.39576,0.01283,0.03189,0.108,0.11337,0.24197,0.13448,0.15988,0.27208,0.19167,0.37188,0.5498,0.29468,0.43327,0.20384,0.09529,0.31456
18,2020-04-19,0.07134,0.00632,0.2799,0.33529,0.31659,0.12814,0.05649,0.34041,0.36871,0.26865,0.37962,0.12786,0.08281,0.07136,0.36094,0.18542,0.032,0.29997,0.111,0.48614,0.01642,0.02311,0.15433,0.26713,0.38068,0.01196,0.03005,0.10338,0.10951,0.23394,0.12894,0.15523,0.26038,0.1856,0.35921,0.53288,0.28556,0.41674,0.19829,0.09074,0.3005
19,2020-04-20,0.06919,0.00628,0.27024,0.32578,0.308,0.12432,0.05507,0.32993,0.35803,0.25986,0.3667,0.12316,0.08111,0.06801,0.35163,0.18042,0.02995,0.29105,0.10746,0.47107,0.01459,0.02173,0.15088,0.25949,0.36999,0.01128,0.02845,0.09798,0.10646,0.22766,0.12488,0.15116,0.25093,0.1818,0.35038,0.52012,0.27807,0.40513,0.19316,0.08729,0.28934
20,2020-04-21,0.06728,0.00635,0.2627,0.31784,0.3005,0.12113,0.05322,0.32084,0.34873,0.25143,0.35601,0.11918,0.07967,0.06516,0.34384,0.17555,0.02811,0.28229,0.10445,0.45758,0.01345,0.02034,0.14747,0.25319,0.36129,0.01058,0.02723,0.09412,0.10431,0.22137,0.12127,0.14782,0.24296,0.17805,0.34236,0.50658,0.27075,0.3938,0.1892,0.08453,0.27966
21,2020-04-22,0.06567,0.00641,0.25688,0.31089,0.29282,0.11811,0.05145,0.31325,0.34034,0.24439,0.34648,0.11516,0.07843,0.06319,0.33653,0.17101,0.02659,0.27449,0.10129,0.44451,0.01303,0.01913,0.14357,0.24749,0.35321,0.00995,0.02626,0.09215,0.10283,0.21578,0.11815,0.1454,0.23604,0.17419,0.33471,0.4935,0.26364,0.38417,0.18633,0.08265,0.27086
22,2020-04-23,0.06422,0.00626,0.25227,0.3046,0.28697,0.11511,0.04933,0.30739,0.33344,0.23843,0.33852,0.11153,0.07678,0.06142,0.32963,0.16664,0.02552,0.26814,0.09876,0.43229,0.0126,0.01834,0.14009,0.24317,0.34614,0.00936,0.02563,0.09143,0.10132,0.21064,0.11565,0.14378,0.2301,0.17079,0.32859,0.48284,0.25708,0.37674,0.18425,0.08089,0.26309
23,2020-04-24,0.06317,0.00601,0.24938,0.2992,0.28317,0.11222,0.04753,0.30368,0.32816,0.23351,0.33263,0.10853,0.07513,0.06051,0.32314,0.16278,0.02481,0.26427,0.097,0.42262,0.01216,0.01783,0.13736,0.24022,0.34093,0.0089,0.02506,0.0918,0.0996,0.20691,0.11321,0.14304,0.22557,0.16778,0.32341,0.47426,0.25165,0.37082,0.18262,0.07946,0.25687
