,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.06745,0.01037,0.49502,0.49993,0.39954,0.22471,0.11365,0.67432,0.52184,0.30733,0.58705,0.17026,0.05207,0.06306,0.66189,0.23712,0.01497,0.2703,0.10468,0.42481,0.02277,0.01702,0.22042,0.52142,0.59731,0.01565,0.01857,0.12234,0.21371,0.40819,0.1751,0.38973,0.41282,0.26685,0.4182,0.41865,0.27948,0.60106,0.18453,0.0787,0.36589
15,2020-04-16,0.0677,0.01042,0.4935,0.49845,0.40178,0.22444,0.1117,0.67364,0.52436,0.3088,0.58962,0.17138,0.05247,0.06345,0.66039,0.23726,0.01503,0.27183,0.10592,0.42824,0.02261,0.01741,0.22095,0.52212,0.60137,0.01613,0.01882,0.12265,0.21211,0.40842,0.17698,0.38831,0.41187,0.26838,0.41907,0.42211,0.28057,0.60322,0.18362,0.07905,0.36882
16,2020-04-17,0.06789,0.01037,0.48953,0.4935,0.40136,0.22298,0.10896,0.6691,0.52339,0.30848,0.5888,0.17142,0.05261,0.0636,0.65526,0.23618,0.01493,0.27194,0.10669,0.42919,0.02213,0.01759,0.22002,0.51977,0.60092,0.01636,0.01903,0.12269,0.20942,0.40626,0.17705,0.38507,0.4086,0.26875,0.41777,0.42335,0.28051,0.60283,0.18169,0.07932,0.36927
17,2020-04-18,0.0675,0.01011,0.48137,0.48418,0.39669,0.21935,0.10492,0.65942,0.51767,0.30591,0.58272,0.17004,0.05222,0.06333,0.64317,0.23295,0.01471,0.26952,0.1063,0.42678,0.02132,0.01752,0.21624,0.5142,0.59432,0.01633,0.01912,0.12197,0.20514,0.40124,0.17506,0.37868,0.40219,0.26656,0.41243,0.42139,0.27826,0.59832,0.17812,0.07885,0.36642
18,2020-04-19,0.06697,0.00961,0.47354,0.47605,0.39114,0.2154,0.10166,0.65046,0.51243,0.30303,0.57592,0.16808,0.0517,0.06277,0.63216,0.2299,0.01444,0.2666,0.10557,0.42427,0.02082,0.01735,0.21204,0.50786,0.58627,0.01587,0.01921,0.12198,0.20148,0.39604,0.17262,0.37244,0.39613,0.26359,0.407,0.41836,0.27555,0.59312,0.17564,0.07828,0.36265
19,2020-04-20,0.06627,0.00907,0.46707,0.47025,0.38623,0.21156,0.0992,0.64297,0.50719,0.30035,0.56998,0.16632,0.05118,0.06203,0.62388,0.22726,0.01414,0.26364,0.10487,0.42206,0.02054,0.01713,0.20862,0.50185,0.57843,0.01515,0.01931,0.12266,0.19844,0.3912,0.16997,0.36681,0.39085,0.26079,0.40258,0.41486,0.27277,0.58781,0.17426,0.0777,0.35916
20,2020-04-21,0.06534,0.00861,0.46035,0.46333,0.37966,0.20746,0.09662,0.63416,0.49986,0.29615,0.56334,0.16421,0.05043,0.06109,0.61384,0.22378,0.01385,0.25959,0.10376,0.41776,0.0201,0.01681,0.20445,0.49475,0.56978,0.01442,0.01929,0.12303,0.19513,0.38527,0.16659,0.36157,0.38538,0.25759,0.39663,0.40942,0.26911,0.58109,0.17219,0.07689,0.35503
21,2020-04-22,0.06424,0.00812,0.45277,0.45373,0.37201,0.20276,0.0939,0.62326,0.49092,0.2906,0.55466,0.16106,0.0495,0.05996,0.60049,0.21966,0.01352,0.25459,0.10211,0.41145,0.01939,0.01626,0.19958,0.48648,0.55844,0.01353,0.01905,0.12262,0.19113,0.37825,0.16259,0.3559,0.37914,0.25398,0.38917,0.4016,0.26466,0.57296,0.169,0.07556,0.34895
22,2020-04-23,0.06315,0.00769,0.44615,0.44461,0.36548,0.1983,0.09151,0.61299,0.48255,0.28498,0.5462,0.15748,0.04847,0.05883,0.58753,0.21576,0.0132,0.24978,0.10008,0.40576,0.0187,0.0156,0.19571,0.47868,0.5469,0.01258,0.01867,0.1216,0.18732,0.37171,0.15838,0.35049,0.37317,0.25064,0.38251,0.39399,0.26038,0.56591,0.16567,0.0739,0.34232
23,2020-04-24,0.06182,0.00734,0.44019,0.43561,0.35963,0.19374,0.08941,0.60336,0.47494,0.27938,0.5383,0.15404,0.04746,0.05771,0.57445,0.21191,0.01291,0.24524,0.09786,0.40043,0.01796,0.01489,0.19237,0.47169,0.53682,0.01174,0.01822,0.11985,0.1835,0.36573,0.15476,0.34561,0.36789,0.24761,0.37613,0.38639,0.2563,0.55948,0.16201,0.07202,0.33641
