,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,-0.0,-0.0,-0.004,-0.005,-0.003,-0.002,-0.002,-0.006,-0.004,-0.002,-0.004,-0.001,-0.0,-0.0,-0.007,-0.002,-0.0,-0.002,-0.001,-0.002,-0.0,-0.0,-0.002,-0.004,-0.005,-0.0,-0.0,-0.0,-0.003,-0.004,-0.002,-0.004,-0.004,-0.001,-0.003,-0.003,-0.002,-0.003,-0.002,-0.001,-0.002
15,2020-04-16,-0.001,-0.0,-0.005,-0.006,-0.004,-0.003,-0.002,-0.006,-0.004,-0.003,-0.004,-0.002,-0.0,-0.0,-0.008,-0.002,-0.0,-0.002,-0.001,-0.003,-0.0,-0.0,-0.002,-0.005,-0.006,-0.0,-0.0,-0.0,-0.003,-0.004,-0.002,-0.004,-0.004,-0.002,-0.004,-0.003,-0.002,-0.004,-0.002,-0.001,-0.003
16,2020-04-17,-0.001,-0.0,-0.004,-0.006,-0.004,-0.003,-0.002,-0.006,-0.005,-0.003,-0.005,-0.002,-0.0,-0.001,-0.008,-0.002,-0.0,-0.003,-0.001,-0.003,-0.0,-0.0,-0.002,-0.005,-0.006,-0.0,-0.0,-0.001,-0.003,-0.004,-0.002,-0.004,-0.004,-0.002,-0.004,-0.004,-0.002,-0.004,-0.002,-0.001,-0.003
17,2020-04-18,-0.001,-0.0,-0.004,-0.005,-0.004,-0.003,-0.001,-0.006,-0.004,-0.003,-0.004,-0.002,-0.0,-0.001,-0.007,-0.002,-0.0,-0.003,-0.001,-0.003,-0.0,-0.0,-0.002,-0.005,-0.006,-0.0,-0.0,-0.001,-0.002,-0.004,-0.002,-0.003,-0.003,-0.002,-0.004,-0.004,-0.002,-0.004,-0.002,-0.001,-0.003
18,2020-04-19,-0.001,-0.0,-0.003,-0.005,-0.003,-0.002,-0.001,-0.005,-0.004,-0.003,-0.004,-0.002,-0.0,-0.001,-0.006,-0.002,-0.0,-0.003,-0.001,-0.003,-0.0,-0.0,-0.002,-0.004,-0.006,-0.0,-0.0,-0.001,-0.002,-0.003,-0.002,-0.003,-0.003,-0.001,-0.003,-0.004,-0.002,-0.004,-0.002,-0.001,-0.003
19,2020-04-20,-0.001,-0.0,-0.003,-0.004,-0.003,-0.002,-0.001,-0.005,-0.004,-0.003,-0.004,-0.002,-0.0,-0.001,-0.006,-0.002,-0.0,-0.002,-0.001,-0.003,-0.0,-0.0,-0.001,-0.004,-0.005,-0.0,-0.0,-0.001,-0.002,-0.003,-0.002,-0.002,-0.002,-0.001,-0.003,-0.004,-0.002,-0.004,-0.002,-0.001,-0.003
20,2020-04-21,-0.001,-0.0,-0.002,-0.004,-0.002,-0.002,-0.001,-0.004,-0.003,-0.003,-0.003,-0.002,-0.0,-0.0,-0.005,-0.001,-0.0,-0.002,-0.001,-0.003,-0.0,-0.0,-0.001,-0.003,-0.004,-0.0,-0.0,-0.001,-0.002,-0.003,-0.002,-0.002,-0.002,-0.001,-0.003,-0.004,-0.002,-0.003,-0.001,-0.001,-0.003
21,2020-04-22,-0.001,-0.0,-0.001,-0.003,-0.001,-0.001,-0.0,-0.003,-0.002,-0.002,-0.002,-0.001,-0.0,-0.0,-0.004,-0.001,-0.0,-0.002,-0.001,-0.003,-0.0,-0.0,0.0,-0.002,-0.003,-0.0,-0.0,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.0,-0.002,-0.003,-0.001,-0.002,-0.001,-0.001,-0.002
22,2020-04-23,-0.001,-0.0,0.0,-0.002,-0.0,-0.001,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0,-0.0,-0.002,-0.001,-0.0,-0.001,-0.001,-0.002,-0.0,-0.0,0.001,-0.002,-0.002,-0.0,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0,0.0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001
23,2020-04-24,-0.0,-0.0,0.001,-0.001,0.0,0.0,0.0,-0.0,-0.0,-0.001,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,0.001,-0.001,-0.0,0.0,-0.0,-0.001,-0.0,-0.0,-0.0,0.0,0.001,0.001,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
