,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,0.3,0.0,2.0,1.6,1.6,0.8,0.3,2.9,2.2,1.3,2.7,0.8,0.2,0.3,2.3,0.8,0.1,1.2,0.4,1.8,0.0,0.1,0.6,2.3,2.7,0.1,0.1,0.5,0.7,1.7,0.9,1.6,1.7,1.1,1.8,1.9,1.2,2.9,0.6,0.4,1.6
15,2020-04-16,0.3,0.0,2.0,1.6,1.5,0.8,0.3,2.9,2.2,1.3,2.7,0.8,0.2,0.3,2.2,0.8,0.1,1.2,0.4,1.8,0.0,0.1,0.6,2.3,2.7,0.1,0.1,0.5,0.7,1.7,0.9,1.6,1.6,1.1,1.8,1.9,1.2,2.9,0.6,0.4,1.6
16,2020-04-17,0.3,0.0,2.0,1.6,1.5,0.8,0.3,2.9,2.2,1.3,2.7,0.8,0.2,0.3,2.2,0.8,0.1,1.2,0.4,1.8,0.0,0.1,0.6,2.3,2.7,0.1,0.1,0.5,0.7,1.7,0.9,1.6,1.6,1.1,1.8,1.9,1.2,2.9,0.6,0.4,1.6
17,2020-04-18,0.3,0.0,2.0,1.6,1.5,0.8,0.3,2.8,2.2,1.3,2.7,0.8,0.2,0.3,2.2,0.8,0.1,1.2,0.4,1.8,0.0,0.1,0.6,2.2,2.7,0.1,0.1,0.5,0.6,1.7,0.9,1.6,1.6,1.1,1.8,1.9,1.2,2.8,0.6,0.4,1.6
18,2020-04-19,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.8,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.1,0.1,0.5,0.6,1.7,0.9,1.5,1.6,1.1,1.8,1.9,1.2,2.8,0.6,0.4,1.6
19,2020-04-20,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.8,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.7,0.9,1.5,1.6,1.1,1.8,1.8,1.2,2.8,0.6,0.4,1.5
20,2020-04-21,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.6,0.9,1.5,1.6,1.1,1.8,1.8,1.2,2.8,0.6,0.3,1.5
21,2020-04-22,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.6,0.9,1.5,1.6,1.1,1.7,1.8,1.2,2.8,0.6,0.3,1.5
22,2020-04-23,0.3,0.0,1.9,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.5,0.0,0.1,0.5,0.6,1.6,0.8,1.5,1.6,1.1,1.7,1.8,1.1,2.8,0.6,0.3,1.5
23,2020-04-24,0.3,0.0,1.9,1.5,1.5,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.4,1.7,0.0,0.0,0.6,2.2,2.5,0.0,0.1,0.5,0.6,1.6,0.8,1.5,1.6,1.1,1.7,1.8,1.1,2.8,0.6,0.3,1.5
24,2020-04-25,0.3,0.0,1.9,1.5,1.5,0.8,0.3,2.7,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.4,1.7,0.0,0.0,0.6,2.2,2.5,0.0,0.1,0.5,0.6,1.6,0.8,1.5,1.6,1.1,1.7,1.8,1.1,2.7,0.6,0.3,1.5
25,2020-04-26,0.3,0.0,1.9,1.5,1.5,0.8,0.3,2.7,2.1,1.2,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.4,1.7,0.0,0.0,0.6,2.1,2.5,0.0,0.1,0.5,0.6,1.6,0.8,1.5,1.6,1.1,1.7,1.8,1.1,2.7,0.6,0.3,1.5
26,2020-04-27,0.3,0.0,1.9,1.5,1.5,0.8,0.3,2.8,2.1,1.2,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.4,1.7,0.0,0.0,0.6,2.1,2.5,0.0,0.1,0.5,0.6,1.6,0.8,1.5,1.6,1.1,1.7,1.8,1.1,2.7,0.6,0.3,1.5
27,2020-04-28,0.3,0.0,1.9,1.5,1.4,0.8,0.3,2.8,2.1,1.2,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.1,2.5,0.0,0.1,0.4,0.6,1.6,0.8,1.5,1.6,1.1,1.6,1.8,1.1,2.7,0.6,0.3,1.5
28,2020-04-29,0.3,0.0,2.0,1.5,1.4,0.8,0.3,2.8,2.1,1.2,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.2,2.5,0.0,0.1,0.4,0.6,1.6,0.8,1.5,1.6,1.1,1.6,1.8,1.1,2.7,0.6,0.3,1.5
29,2020-04-30,0.3,0.0,2.0,1.4,1.4,0.8,0.3,2.8,2.1,1.2,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.2,2.5,0.0,0.1,0.4,0.6,1.6,0.8,1.5,1.6,1.1,1.6,1.8,1.1,2.7,0.6,0.3,1.5
30,2020-05-01,0.3,0.0,2.0,1.4,1.4,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.2,2.5,0.0,0.1,0.4,0.6,1.6,0.9,1.5,1.6,1.1,1.6,1.8,1.1,2.8,0.6,0.3,1.5
31,2020-05-02,0.3,0.0,2.0,1.4,1.4,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.2,2.6,0.0,0.1,0.4,0.6,1.6,0.9,1.5,1.6,1.1,1.6,1.8,1.1,2.8,0.6,0.3,1.5
32,2020-05-03,0.3,0.0,2.0,1.4,1.4,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.1,0.7,0.1,1.1,0.3,1.7,0.0,0.0,0.6,2.2,2.6,0.0,0.1,0.4,0.6,1.6,0.9,1.5,1.6,1.1,1.6,1.8,1.1,2.8,0.6,0.3,1.5
33,2020-05-04,0.3,0.0,2.0,1.5,1.4,0.8,0.3,2.8,2.1,1.3,2.6,0.7,0.2,0.2,2.2,0.7,0.1,1.2,0.3,1.7,0.0,0.0,0.6,2.2,2.6,0.0,0.1,0.4,0.6,1.6,0.9,1.5,1.6,1.1,1.6,1.8,1.1,2.8,0.6,0.3,1.5
34,2020-05-05,0.3,0.0,2.0,1.5,1.4,0.8,0.3,2.8,2.2,1.3,2.6,0.7,0.2,0.2,2.2,0.7,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.7,0.9,1.5,1.6,1.1,1.6,1.8,1.1,2.8,0.6,0.3,1.5
35,2020-05-06,0.3,0.0,2.0,1.5,1.4,0.8,0.3,2.9,2.2,1.3,2.6,0.7,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.7,0.9,1.5,1.6,1.1,1.6,1.8,1.2,2.8,0.6,0.3,1.5
36,2020-05-07,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.9,2.2,1.3,2.6,0.8,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.6,0.0,0.1,0.5,0.6,1.7,0.9,1.5,1.6,1.1,1.6,1.8,1.2,2.8,0.6,0.3,1.6
37,2020-05-08,0.3,0.0,2.0,1.5,1.5,0.8,0.3,2.9,2.2,1.3,2.7,0.8,0.2,0.2,2.2,0.8,0.1,1.2,0.4,1.7,0.0,0.1,0.6,2.2,2.7,0.0,0.1,0.5,0.6,1.7,0.9,1.6,1.6,1.1,1.6,1.8,1.2,2.8,0.6,0.3,1.6
